3/4Bths,Acceptance Date,ADOM,Act Close Date,Address,Approx Addl Liv Area,Approx Liv Area,Area,AssocComFeatDesc,AssocComFeatDesc_2,AssocComFeatDesc_3,AssocComFeatDesc_4,AssocComFeatDesc_5,Bdrs,BldgDesc,BldgDesc_2,Built Desc,Carport,City/Twn,Construction,Construction_2,Construction_3,County,DOM,Energy,Energy_2,Energy_3,Energy_4,Expire Date,Exterior,Exterior_2,Exterior_3,Exterior_4,Exterior_5,Exterior_6,Exterior_7,Exterior_8,Firepl,FullBths,FurnishingDesc,Garage,Garage,Garage_2,Garage_3,Garage_4,Gated Y/N,GR BLD CERT,Green Feat,Green Feat_2,Green Feat_3,Green Feat_4,Green Feat_5,HalfBths,Heating Fuel,Heating Fuel_2,HouseViews,HouseViews_2,HouseViews_3,List Date,List Price,Lot Sqft,ML #,Occupancy,OrigListPrice,Ownership,Previous Price,PrcChgDt,Property Condition,PropDesc,PropDesc_2,PropDesc_3,PropDesc_4,PSType,PropType,PvPool,PvSpa,Repo-Reo,SP/SqFt,Sale Price,SaleTyp,Sold Seller Points,Short Sale,Sold Term,ST,Stat,StatusChangeDate,Subdivision,T Status Date,Type,Unit Description,Unit#,Utility Information,Utility Information_2,Utility Information_3,Utility Information_4,With Date,YearBlt,Zip,Manufact,MHYrBlt,Lease Term,Solar Electric
1,09/19/2015,  ,01/22/2016,9129 BAYSINGER DR,  ,3386,405,NONE,  ,  ,  ,  ,5,2STORY,  ,RE,0,LASVEGAS,FRMSTUC,  ,  ,CLARK,85,DUALPNE,  ,  ,  ,  ,BYARDAC,CVPATIO,  ,  ,  ,  ,  ,  ,3,2,NOFURN,3,ATTACHD,AUTODR,ENTRYHS,  ,N,N,  ,  ,  ,  ,  ,0,GAS,  ,  ,  ,  ,06/26/2015,295000,6547,B212-58025,VAC,295000,SFR,  ,06/26/2015,EXCL,  ,  ,  ,  ,SFR,RES,N,N,Y,84.170112,290000,OTHER,0,N,CONV,NV,S,06/26/2016,EL CAPITAN RANCH,  ,DETACHED,  ,  ,UNDGRND,  ,  ,  ,  ,1997,89129,  ,  ,  ,  
0,02/04/2016,  ,04/07/2016,8521 COPPER RIDGE AV,  ,2653,405,CCRS,  ,  ,  ,  ,4,2STORY,  ,RE,0,LASVEGAS,FRMSTUC,  ,  ,CLARK,222,NONE,  ,  ,  ,  ,CVPATIO,  ,  ,  ,  ,  ,  ,  ,3,2,NOFURN,3,ATTACHD,  ,  ,  ,N,N,  ,  ,  ,  ,  ,1,GAS,  ,  ,  ,  ,06/27/2015,302000,5240,B212-58222,OWN,330000,SFR,304900,09/17/2015,VRGD,  ,  ,  ,  ,SFR,RES,Y,N,N,111.948737,297000,TRADSALE,0,N,CONV,NV,S,04/09/2015,HERITAGE PLACE-PHSE 2,  ,DETACHED,  ,  ,UNDGRND,  ,  ,  ,  ,1997,89129,  ,  ,  ,  
0,01/24/2016,  ,03/05/2016,3348 ASCONA CT,  ,2677,405,NONE,  ,  ,  ,  ,5,2STORY,  ,RE,0,LASVEGAS,FRMSTUC,  ,  ,CLARK,139,DUALPNE,  ,  ,  ,  ,BALCONY,BYARDAC,CVPATIO,  ,  ,  ,  ,  ,2,3,NOFURN,3,ATTACHD,AUTODR,ENTRYHS,FINISHD,N,N,  ,  ,  ,  ,  ,0,GAS,  ,  ,  ,  ,09/07/2015,292500,6547,B212-77881,VAC,355000,  ,300000,01/20/2016,EXCL,  ,  ,  ,  ,SFR,RES,Y,Y,N,107.396339,287500,TRADSALE,3000,N,CONV,NV,S,03/06/2015,EL CAPITAN RANCH,  ,DETACHED,  ,  ,CABWIRE,UNDGRND,  ,  ,  ,1997,89129,  ,  ,  ,  
1,02/26/2016,  ,04/30/2016,8608 COPPER MINE AV,  ,3083,405,CCRS,  ,  ,  ,  ,4,2STORY,  ,RE,0,LASVEGAS,FRMSTUC,  ,  ,CLARK,169,DUALPNE,SOLSCRN,  ,  ,  ,PATIO,  ,  ,  ,  ,  ,  ,  ,2,2,NOFURN,3,ATTACHD,AUTODR,ENTRYHS,FINISHD,N,N,  ,  ,  ,  ,  ,0,GAS,  ,  ,  ,  ,09/10/2015,280000,5240,B212-78895,VAC,280000,SFR,,09/10/2015,GOOD,  ,  ,  ,  ,SFR,RES,N,N,N,89.198832,275000,SHORTSAL,0,Y,FHA,NV,S,05/01/2015,GOWAN FORT APACHE,  ,DETACHED,  ,  ,UNDGRND,  ,  ,  ,  ,1998,89129,  ,  ,  ,  
0,01/19/2016,  ,02/02/2016,3725 N CAMPBELL RD,  ,3386,405,NONE,  ,  ,  ,  ,5,2STORY,  ,RE,0,LASVEGAS,FRMSTUC,  ,  ,CLARK,98,LOWEWIN,  ,  ,  ,  ,BYARDAC,CVPATIO,PATIO,PORCH,PRIVYRD,  ,  ,  ,1,3,NOFURN,3,ATTACHD,AUTODR,ENTRYHS,FINISHD,N,N,  ,  ,  ,  ,  ,0,GAS,  ,  ,  ,  ,10/13/2015,330000,6111,B212-87707,OWN,355000,SFR,345000,01/11/2016,VRGD,  ,  ,  ,  ,SFR,RES,N,Y,N,90.076787,305000,TRADSALE,0,N,CASH,NV,S,02/03/2015,GOWAN/FORT APACHE-UNIT 2B,  ,DETACHED,  ,  ,CABWIRE,SATDISH,UNDGRND,  ,  ,1996,89129,  ,  ,  ,  
1,01/13/2016,  ,03/03/2016,3646 DORRINGTON DR,  ,3386,405,NONE,  ,  ,  ,  ,5,2STORY,  ,RE,0,LASVEGAS,FRMSTUC,  ,  ,CLARK,75,NONE,  ,  ,  ,  ,CVPATIO,BBQSTUB,  ,  ,  ,  ,  ,  ,1,2,NOFURN,3,ATTACHD,AUTODR,FINISHD,STORAGE,N,N,  ,  ,  ,  ,  ,0,GAS,  ,  ,  ,  ,10/30/2015,354000,6111,B212-92192,VAC,360000,SFR,354900,01/09/2016,VRGD,  ,  ,  ,  ,SFR,RES,N,N,N,101.890136,345000,TRADSALE,6641,N,VA,NV,S,03/03/2015,GOWAN FORT APACHE,  ,DETACHED,2LEVEL,  ,CABLAVL,UNDGRND,  ,  ,  ,1996,89129,  ,  ,  ,  
1,01/24/2016,  ,02/02/2016,9153 CLARETTA DR,  ,3386,405,NONE,  ,  ,  ,  ,6,2STORY,  ,RE,0,LASVEGAS,FRMSTUC,  ,  ,CLARK,82,NONE,  ,  ,  ,  ,BI-BBQ,BALCONY,CVPATIO,  ,  ,  ,  ,  ,3,2,NOFURN,3,ATTACHD,AUTODR,ENTRYHS,STORAGE,N,N,  ,  ,  ,  ,  ,0,GAS,  ,  ,  ,  ,11/03/2015,346900,6547,B212-92783,OWN,360000,SFR,354900,12/04/2015,VRGD,  ,  ,  ,  ,SFR,RES,Y,Y,N,98.641465,334000,TRADSALE,0,N,CASH,NV,S,02/02/2015,CIMARRON MEADOWS,  ,DETACHED,  ,n/a,CABLAVL,UNDGRND,CABWIRE,  ,  ,1997,89129,  ,  ,  ,  
0,12/30/2015,  ,02/06/2016,8209 SPRING ARTS AV,  ,2895,405,NONE,  ,  ,  ,  ,5,2STORY,  ,RE,0,LASVEGAS,BLKSTUC,  ,  ,CLARK,50,NONE,  ,  ,  ,  ,CVPATIO,DECK,  ,  ,  ,  ,  ,  ,1,3,NOFURN,3,ATTACHD,ENTRYHS,  ,  ,N,N,  ,  ,  ,  ,  ,0,GAS,  ,  ,  ,  ,11/10/2015,280000,6547,B212-94758,VAC,180000,SFR,180000,11/10/2015,GOOD,  ,  ,  ,  ,SFR,RES,Y,Y,N,94.991364,275000,TRADSALE,7500,N,VA,NV,S,02/08/2015,MILAN-UNIT 2 AMD,  ,ATTACHED,  ,  ,ABOVEGR,CABLAVL,  ,  ,  ,1997,89129,  ,  ,  ,  
0,02/27/2016,  ,04/20/2016,7921 AVIANO PINES AV,  ,2702,405,NONE,  ,  ,  ,  ,5,2STORY,  ,RE,0,LASVEGAS,FRMSTUC,  ,  ,CLARK,108,NONE,  ,  ,  ,  ,BYARDAC,COURTYD,PATIO,PRIVYRD,  ,  ,  ,  ,1,2,NOFURN,2,ATTACHD,ENTRYHS,  ,  ,N,N,  ,  ,  ,  ,  ,1,GAS,  ,  ,  ,  ,11/11/2015,217500,4369,B212-97412,OWN,185000,SFR,225000,02/24/2016,GOOD,  ,  ,  ,  ,SFR,RES,N,N,N,74.019245,200000,SHORTSAL,0,Y,CASH,NV,S,04/22/2015,DIAMOND RIDGE-UNIT 7,  ,DETACHED,  ,  ,UNDGRND,  ,  ,  ,  ,1997,89129,  ,  ,  ,  
1,05/01/2016,  ,05/15/2016,9121 TERRACE RIDGE CT,546,3417,405,NONE,  ,  ,  ,  ,6,2STORY,  ,RE,0,LASVEGAS,FRMSTUC,  ,  ,CLARK,119,NONE,  ,  ,  ,  ,NONE,  ,  ,  ,  ,  ,  ,  ,2,2,NOFURN,3,ATTACHD,  ,  ,  ,N,N,  ,  ,  ,  ,  ,0,GAS,  ,  ,  ,  ,01/02/2016,315000,6983,B212-05072,VAC,357000,SFR,339400,03/20/2016,GOOD,  ,  ,  ,  ,SFR,RES,Y,Y,Y,81.943225,280000,REOSALE,0,N,CASH,NV,S,05/18/2015,GOWAN FORT APACHE,  ,DETACHED,  ,  ,CABLAVL,  ,  ,  ,  ,1999,89129,  ,  ,  ,  
0,06/30/2016,  ,08/07/2016,9072 LAWTON PINE AV,  ,3215,405,NONE,  ,  ,  ,  ,5,2STORY,  ,RE,0,LASVEGAS,FRMSTUC,  ,  ,CLARK,173,DUALPNE,  ,  ,  ,  ,CVPATIO,  ,  ,  ,  ,  ,  ,  ,2,3,NOFURN,3,AUTODR,ENTRYHS,FINISHD,  ,N,N,  ,  ,  ,  ,  ,0,GAS,  ,  ,  ,  ,01/08/2016,340000,6547,B212-06759,VAC,330000,SFR,330000,04/06/2016,GOOD,  ,  ,  ,  ,SFR,RES,Y,Y,N,104.199067,335000,TRADSALE,1000,N,VA,NV,S,08/10/2015,DIAMOND RIDGE-UNIT 7,  ,DETACHED,  ,  ,CABLAVL,  ,  ,  ,  ,1998,89129,  ,  ,  ,  
1,01/22/2016,  ,03/31/2016,3800 DIAMOND RIDGE ST,546,3417,405,NONE,  ,  ,  ,  ,5,2STORY,  ,RE,0,LASVEGAS,FRMSTUC,  ,  ,CLARK,7,DUALPNE,  ,  ,  ,  ,BYARDAC,CVPATIO,PRIVYRD,  ,  ,  ,  ,  ,3,2,NOFURN,3,ATTACHD,ENTRYHS,FINISHD,EXTERDR,N,N,  ,  ,  ,  ,  ,0,ELEC,GAS,  ,  ,  ,01/15/2016,420000,16566,B212-08429,OWN,420000,SFR,,01/16/2016,VRGD,  ,  ,  ,  ,SFR,RES,N,Y,N,122.914838,420000,TRADSALE,0,N,CONV,NV,S,04/01/2015,EL CAPITAN RANCH,  ,DETACHED,  ,  ,UNDGRND,220GAR,  ,  ,  ,1999,89129,  ,  ,  ,  
1,03/20/2016,  ,04/24/2016,8633 RAINDROP CANYON AV,  ,3007,405,CCRS,COMWALL,  ,  ,  ,5,2STORY,  ,RE,0,LASVEGAS,FRMSTUC,  ,  ,CLARK,53,NONE,  ,  ,  ,  ,CVPATIO,BI-BBQ,PATIO,  ,  ,  ,  ,  ,3,2,NOFURN,3,AUTODR,ATTACHD,ENTRYHS,  ,N,N,  ,  ,  ,  ,  ,0,GAS,  ,PRKGRN,  ,  ,01/26/2016,290000,5240,B212-10981,OWN,290000,SFR,,01/26/2016,VRGD,  ,  ,  ,  ,SFR,RES,N,N,N,96.441636,290000,TRADSALE,8300,N,FHA,NV,S,04/27/2015,PINNACLE POINTE-UNIT 2,  ,DETACHED,  ,  ,UNDGRND,  ,  ,  ,  ,1997,89129,  ,  ,  ,  
1,06/10/2016,  ,08/07/2016,3732 MOUNTAIN WATERS ST,  ,2733,405,NONE,  ,  ,  ,  ,4,2STORY,  ,RE,0,LASVEGAS,FRMSTUC,  ,  ,CLARK,132,LOWEWIN,SOLSCRN,  ,  ,  ,PATIO,ACCESS,  ,  ,  ,  ,  ,  ,1,2,NOFURN,3,ENTRYHS,AUTODR,ATTACHD,RVGARG,N,N,  ,  ,  ,  ,  ,0,GAS,  ,MOUNTVW,CITYVW,  ,01/29/2016,254900,6547,B212-12413,VAC,279900,SFR,275899,06/04/2016,FAIR,  ,  ,  ,  ,SFR,RES,N,N,N,91.47457,250000,SHORTSAL,0,Y,CONV,NV,S,08/10/2015,GOWAN/FORT APACHE PHASE 5 UNIT,  ,DETACHED,  ,  ,UNDGRND,  ,  ,  ,  ,2001,89129,  ,  ,  ,  
1,05/01/2016,  ,05/29/2016,8912 SAILPLANE AV,  ,3386,405,NOTAGER,  ,  ,  ,  ,4,2STORY,  ,RE,0,LASVEGAS,FRMSTUC,  ,  ,CLARK,88,NONE,  ,  ,  ,  ,NONE,  ,  ,  ,  ,  ,  ,  ,2,2,NOFURN,3,ATTACHD,  ,  ,  ,N,N,  ,  ,  ,  ,  ,0,GAS,  ,  ,  ,  ,02/02/2016,354900,6111,B212-12829,VAC,354900,SFR,,02/03/2016,EXCL,  ,  ,  ,  ,SFR,RES,Y,N,N,103.337271,349900,TRADSALE,0,N,VA,NV,S,05/29/2015,CANYON MEADOWS,  ,DETACHED,  ,  ,UNDGRND,  ,  ,  ,  ,1997,89129,  ,  ,  ,  
1,02/17/2016,  ,04/03/2016,3820 TERRACE GROVE ST,  ,3109,405,NONE,  ,  ,  ,  ,5,2STORY,  ,RE,0,LASVEGAS,FRMSTUC,  ,  ,CLARK,11,NONE,  ,  ,  ,  ,BI-BBQ,BALCONY,CVPATIO,  ,  ,  ,  ,  ,0,3,NOFURN,3,ATTACHD,AUTODR,ENTRYHS,  ,N,N,  ,  ,  ,  ,  ,0,GAS,  ,  ,  ,  ,02/06/2016,304900,6111,B212-13976,OWN,304900,SFR,,02/06/2016,EXCL,  ,  ,  ,  ,SFR,RES,Y,Y,N,96.49405,300000,TRADSALE,5000,N,FHA,NV,S,04/03/2015,GOWAN FORT APACHE,  ,DETACHED,  ,  ,CABWIRE,UNDGRND,  ,  ,  ,1999,89129,  ,  ,  ,  
0,05/13/2016,  ,06/12/2016,3713 DORRINGTON DR,  ,3386,405,CCRS,  ,  ,  ,  ,5,2STORY,  ,RE,0,LASVEGAS,FRMSTUC,  ,  ,CLARK,93,NONE,  ,  ,  ,  ,NONE,  ,  ,  ,  ,  ,  ,  ,1,3,NOFURN,3,AUTODR,ENTRYHS,  ,  ,N,N,  ,  ,  ,  ,  ,0,GAS,  ,  ,  ,  ,02/09/2016,334900,6111,B212-14970,OWN,345000,SFR,345000,04/02/2016,VRGD,  ,  ,  ,  ,SFR,RES,N,Y,N,97.430597,329900,TRADSALE,0,N,VA,NV,S,06/13/2015,GOWAN FORT APACHE,  ,DETACHED,  ,  ,UNDGRND,  ,  ,  ,  ,1997,89129,  ,  ,  ,  
1,03/03/2016,  ,04/14/2016,3717 DEER FLATS ST,  ,3215,405,COMWALL,  ,  ,  ,  ,4,TRILEVL,  ,RE,0,LASVEGAS,FRMSTUC,OTHER,  ,CLARK,19,DUALPNE,  ,  ,  ,  ,CVPATIO,BYARDAC,BBQSTUB,COURTYD,PATIO,PRIVYRD,  ,  ,0,2,NOFURN,3,ATTACHD,AUTODR,ENTRYHS,FINISHD,N,N,  ,  ,  ,  ,  ,0,GAS,  ,MOUNTVW,  ,  ,02/12/2016,329990,6111,B212-15369,VAC,329990,SFR,,02/12/2016,VRGD,  ,  ,  ,  ,SFR,RES,N,N,N,101.085537,324990,TRADSALE,7000,N,VA,NV,S,04/17/2015,EL CAPITAN RANCH,  ,DETACHED,3LEVEL,  ,UNDGRND,CABLAVL,CABWIRE,  ,  ,1998,89129,  ,  ,  ,  
0,06/05/2016,  ,06/19/2016,8605 COPPER KNOLL AV,  ,2653,405,NONE,  ,  ,  ,  ,4,2STORY,  ,RE,0,LASVEGAS,FRMSTUC,  ,  ,CLARK,92,DUALPNE,  ,  ,  ,  ,BI-BBQ,PRIVYRD,  ,  ,  ,  ,  ,  ,1,2,NOFURN,3,ATTACHD,AUTODR,ENTRYHS,FINISHD,N,N,  ,  ,  ,  ,  ,1,GAS,  ,NONE,  ,  ,03/05/2016,304900,5240,B212-21211,VAC,338900,SFR,334900,06/03/2016,VRGD,  ,  ,  ,  ,SFR,RES,Y,Y,N,111.194874,295000,TRADSALE,0,N,CONV,NV,S,06/19/2015,HERITAGE PLACE-PHSE 2,  ,DETACHED,2LEVEL,  ,UNDGRND,  ,  ,  ,  ,1998,89129,  ,  ,  ,  
0,07/29/2016,  ,09/25/2016,3349 ASCONA CT,  ,2677,405,NONE,  ,  ,  ,  ,5,2STORY,  ,RE,0,LASVEGAS,FRMSTUC,  ,  ,CLARK,140,NONE,  ,  ,  ,  ,BYARDAC,CVPATIO,PRIVYRD,  ,  ,  ,  ,  ,1,3,NOFURN,3,ATTACHD,AUTODR,ENTRYHS,STORAGE,N,N,  ,  ,  ,  ,  ,0,GAS,  ,  ,  ,  ,03/11/2016,290000,7418,B212-22453,OWN,280000,SFR,280000,07/14/2016,GOOD,  ,  ,  ,  ,SFR,RES,Y,N,N,101.232723,271000,SHORTSAL,0,Y,FHA,NV,S,09/29/2015,CANYON MEADOWS,  ,DETACHED,  ,  ,UNDGRND,  ,  ,  ,  ,1997,89129,  ,  ,  ,  
1,04/15/2016,  ,05/18/2016,9640 WINDOM POINT AV,  ,3109,405,NONE,  ,  ,  ,  ,4,2STORY,  ,RE,0,LASVEGAS,FRMSIDE,  ,  ,CLARK,35,DUALPNE,  ,  ,  ,  ,CVPATIO,PRIVYRD,DOGRUN,  ,  ,  ,  ,  ,2,3,NOFURN,3,ATTACHD,AUTODR,FINISHD,  ,N,N,  ,  ,  ,  ,  ,0,GAS,  ,  ,  ,  ,03/11/2016,355000,6983,B212-22664,OWN,355000,SFR,,03/12/2016,VRGD,CUSTOM,  ,  ,  ,SFR,RES,Y,Y,N,108.716629,338000,TRADSALE,0,N,CASH,NV,S,05/18/2015,GOWAN FORT APACHE,  ,DETACHED,  ,  ,CABLAVL,CABWIRE,UNDGRND,  ,  ,1999,89129,  ,  ,  ,  
1,05/14/2016,  ,07/08/2016,9094 GRAY BLUFF DR,0,3215,405,NONE,  ,  ,  ,  ,5,2STORY,  ,RE,0,LASVEGAS,FRMSTUC,  ,  ,CLARK,59,NONE,  ,  ,  ,  ,BYARDAC,CVPATIO,  ,  ,  ,  ,  ,  ,1,2,NOFURN,3,ATTACHD,ENTRYHS,  ,  ,N,N,  ,  ,  ,  ,  ,0,GAS,  ,  ,  ,  ,03/16/2016,324900,6983,B212-23820,VAC,320000,SFR,329900,04/28/2016,VRGD,  ,  ,  ,  ,SFR,RES,N,N,N,97.978227,315000,TRADSALE,0,N,CONV,NV,S,07/08/2015,CIMARRON MEADOWS,  ,DETACHED,2LEVEL,  ,UNDGRND,  ,  ,  ,  ,1997,89129,N,  ,  ,  
